SNo,Symbol,Confidence,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,PrevClose,Turnover,Transactions,Diff,Range,ChangePercent,RangePercent,VWAP %,Weeks52High,Weeks52Low,Date,Days120,Days180
301,UPPER,33.47,218.0,218.0,213.2,214.1,214.1,0.0,0.0,215.18,144716.0,213.9,31139859.4,675,0.2,4.8,0.09,2.25,-0.5,295.0,152.1,2024-12-03,,
314,UPPER,39.36,218.3,223.5,215.0,217.2,217.2,0.0,0.0,219.78,497963.0,214.1,109444271.8,1508,3.1,8.5,1.45,3.95,-1.19,295.0,152.1,2024-12-04,,
301,UPPER,41.19,221.5,222.0,214.0,215.6,215.6,0.0,0.0,217.1,234261.0,217.2,50857677.5,881,-1.6,8.0,-0.74,3.74,-0.69,295.0,152.1,2024-12-05,,
314,UPPER,32.41,213.0,216.9,211.8,212.0,212.0,0.0,0.0,212.96,163105.0,215.6,34735408.1,795,-3.6,5.1,-1.67,2.41,-0.45,295.0,152.1,2024-12-08,,
311,UPPER,33.89,211.5,214.9,211.5,212.0,212.0,0.0,0.0,212.29,154830.0,212.0,32869465.0,642,0.0,3.4,0.0,1.61,-0.14,295.0,152.1,2024-12-09,,
297,UPPER,38.4,214.0,214.0,211.0,212.8,212.8,0.0,0.0,211.96,91668.0,212.0,19429807.8,455,0.8,3.0,0.38,1.42,0.4,295.0,152.1,2024-12-10,,
302,UPPER,34.34,210.1,214.0,210.1,213.4,213.4,0.0,0.0,212.51,113431.0,212.8,24105718.1,517,0.6,3.9,0.28,1.86,0.42,295.0,152.1,2024-12-11,,
298,UPPER,30.84,217.6,217.6,210.0,210.5,210.5,0.0,0.0,211.81,149444.0,213.4,31654017.0,646,-2.9,7.6,-1.36,3.62,-0.62,295.0,152.1,2024-12-12,,
298,UPPER,34.06,210.0,211.3,207.0,208.0,208.0,0.0,0.0,208.72,181095.0,210.5,37798765.7,825,-2.5,4.3,-1.19,2.08,-0.35,295.0,152.1,2024-12-16,,
312,UPPER,28.61,206.0,210.0,204.0,206.5,206.5,0.0,0.0,206.77,110632.0,208.0,22875084.1,671,-1.5,6.0,-0.72,2.94,-0.13,295.0,152.1,2024-12-17,,
308,UPPER,28.61,208.0,210.0,205.0,205.0,205.0,0.0,0.0,206.37,105160.0,206.5,21701728.6,595,-1.5,5.0,-0.73,2.44,-0.67,295.0,152.1,2024-12-18,,
304,UPPER,29.65,204.1,206.9,203.7,204.0,204.0,0.0,0.0,204.59,128590.0,205.0,26308190.9,609,-1.0,3.2,-0.49,1.57,-0.29,295.0,152.1,2024-12-19,,
312,UPPER,28.52,208.0,208.0,201.2,202.0,202.0,0.0,0.0,202.86,189799.0,204.0,38501834.3,720,-2.0,6.8,-0.98,3.38,-0.42,295.0,152.1,2024-12-22,,
322,UPPER,35.62,202.1,207.0,201.0,206.9,206.9,0.0,0.0,204.68,159275.0,202.0,32600599.3,561,4.9,6.0,2.43,2.99,1.07,295.0,152.1,2024-12-23,,
306,UPPER,34.62,206.1,208.5,205.0,205.5,205.5,0.0,0.0,206.7,105007.0,206.9,21705204.5,544,-1.4,3.5,-0.68,1.71,-0.59,295.0,152.1,2024-12-24,,
304,UPPER,41.55,206.0,209.5,204.0,207.6,207.6,0.0,0.0,207.79,142022.0,205.5,29510113.5,765,2.1,5.5,1.02,2.7,-0.09,295.0,152.1,2024-12-26,,
310,UPPER,39.83,204.0,208.8,203.0,204.0,204.0,0.0,0.0,204.92,115693.0,207.6,23707307.0,599,-3.6,5.8,-1.73,2.86,-0.45,295.0,152.1,2024-12-29,,
302,UPPER,34.42,204.0,206.0,201.0,201.3,201.3,0.0,0.0,201.98,143276.0,204.0,28939233.2,748,-2.7,5.0,-1.32,2.49,-0.34,295.0,152.1,2024-12-31,,
299,UPPER,31.7,202.0,205.0,201.3,202.5,202.5,0.0,0.0,202.87,52355.0,201.3,10621054.0,369,1.2,3.7,0.6,1.84,-0.18,295.0,152.1,2025-01-01,,
309,UPPER,29.19,206.5,206.5,202.0,202.6,202.6,0.0,0.0,202.87,79342.0,202.5,16096291.7,421,0.1,4.5,0.05,2.23,-0.13,295.0,152.1,2025-01-02,,
321,UPPER,34.55,204.5,204.5,201.1,202.3,202.3,0.0,0.0,202.48,96088.0,202.6,19455522.7,541,-0.3,3.4,-0.15,1.69,-0.09,295.0,152.1,2025-01-05,,
306,UPPER,43.19,206.3,207.3,203.0,206.9,206.9,0.0,0.0,205.28,138215.0,202.3,28372702.2,719,4.6,4.3,2.27,2.12,0.78,295.0,152.1,2025-01-06,,
299,UPPER,41.16,211.0,211.0,205.5,206.9,206.9,0.0,0.0,207.62,108035.0,206.9,22430180.0,529,0.0,5.5,0.0,2.68,-0.35,295.0,152.1,2025-01-07,,
299,UPPER,40.9,206.0,208.9,205.0,205.9,205.9,0.0,0.0,206.23,82895.0,206.9,17095060.1,442,-1.0,3.9,-0.48,1.9,-0.16,295.0,152.1,2025-01-08,,
302,UPPER,46.68,205.0,205.0,200.0,204.2,204.2,0.0,0.0,202.0,265316.0,205.9,53594634.4,887,-1.7,5.0,-0.83,2.5,1.08,295.0,152.1,2025-01-09,,
295,UPPER,37.46,208.2,208.2,201.0,201.5,201.5,0.0,0.0,202.39,102171.0,204.2,20678677.0,443,-2.7,7.2,-1.32,3.58,-0.44,295.0,152.1,2025-01-12,,
316,UPPER,31.75,203.0,203.8,199.6,200.0,200.0,0.0,0.0,200.31,149241.0,201.5,29894719.1,735,-1.5,4.2,-0.74,2.1,-0.16,295.0,152.1,2025-01-13,,
293,UPPER,31.73,203.0,203.0,199.0,200.0,200.0,0.0,0.0,200.49,111416.0,200.0,22337512.7,506,0.0,4.0,0.0,2.01,-0.24,295.0,152.1,2025-01-15,,
290,UPPER,30.59,200.0,202.9,198.5,199.1,199.1,0.0,0.0,199.66,103179.0,200.0,20601219.7,522,-0.9,4.4,-0.45,2.22,-0.28,295.0,152.1,2025-01-16,,
319,UPPER,32.01,199.0,201.5,198.5,200.1,200.1,0.0,0.0,200.08,103176.0,199.1,20643663.8,551,1.0,3.0,0.5,1.51,0.01,295.0,152.1,2025-01-19,,
305,UPPER,41.17,200.1,202.5,199.2,200.6,200.6,0.0,0.0,200.83,94842.0,200.1,19046923.6,507,0.5,3.3,0.25,1.66,-0.11,295.0,152.1,2025-01-20,,
305,UPPER,39.15,199.0,202.6,199.0,200.4,200.4,0.0,0.0,201.18,77141.0,200.6,15518938.0,412,-0.2,3.6,-0.1,1.81,-0.39,295.0,152.1,2025-01-21,,
316,UPPER,46.12,202.4,206.0,200.2,204.9,204.9,0.0,0.0,203.58,187815.0,200.4,38234949.2,784,4.5,5.8,2.25,2.9,0.65,295.0,152.1,2025-01-22,,
312,UPPER,43.9,205.0,206.9,201.0,201.7,201.7,0.0,0.0,203.25,136197.0,204.9,27682070.0,588,-3.2,5.9,-1.56,2.94,-0.77,295.0,152.1,2025-01-23,,
312,UPPER,45.56,200.0,205.0,200.0,203.1,203.1,0.0,0.0,202.59,141642.0,201.7,28694604.4,576,1.4,5.0,0.69,2.5,0.25,295.0,152.1,2025-01-26,,
306,UPPER,42.63,199.1,206.0,199.1,201.5,201.5,0.0,0.0,202.34,100050.0,203.1,20244449.9,446,-1.6,6.9,-0.79,3.47,-0.42,295.0,152.1,2025-01-27,,
