SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
22,2026-02-25,2648.90,2653.65,2637.79,10.30,0.39%,3002.07,2487.17,4372649922.80,9501225,47927
23,2026-02-24,2638.60,2638.64,2614.26,21.62,0.82%,3002.07,2487.17,4077621011.65,8124040,48251
24,2026-02-23,2616.97,2627.06,2608.95,2.41,0.09%,3002.07,2487.17,5003091072.30,10951487,55245
25,2026-02-22,2614.55,2642.37,2610.70,-27.59,-1.04%,3002.07,2487.17,6665968211.90,14962058,71157
26,2026-02-17,2642.15,2665.82,2636.40,-20.75,-0.77%,3002.07,2487.17,8220183322.40,19057059,81749
27,2026-02-16,2662.91,2682.20,2657.67,-8.16,-0.30%,3002.07,2487.17,7884094591.10,18806731,79470
28,2026-02-12,2671.07,2681.65,2657.86,8.97,0.33%,3002.07,2487.17,10906875932.00,26249011,104744
29,2026-02-11,2662.09,2692.55,2656.36,-0.04,0.00%,3002.07,2487.17,8539425031.10,20589785,81442
30,2026-02-10,2662.14,2682.41,2655.30,-10.25,-0.38%,3002.07,2487.17,8571751792.50,20787696,88799
31,2026-02-09,2672.39,2702.75,2665.02,-26.05,-0.96%,3002.07,2487.17,10617741623.02,25224940,101002
32,2026-02-08,2698.45,2728.43,2695.20,-10.24,-0.37%,3002.07,2487.17,11592021374.20,25168000,110706
33,2026-02-05,2708.70,2709.00,2679.75,27.19,1.01%,3002.07,2487.17,11286458012.95,23734118,107462
34,2026-02-04,2681.50,2702.90,2659.86,-1.64,-0.06%,3002.07,2487.17,7451562282.10,14913025,79320
35,2026-02-03,2683.15,2709.89,2675.16,-12.58,-0.46%,3002.07,2487.17,8577184478.70,17118663,91157
36,2026-02-02,2695.73,2706.98,2679.86,1.53,0.05%,3002.07,2487.17,8106071648.00,15933238,89754
37,2026-02-01,2694.20,2719.62,2688.08,-19.85,-0.73%,3002.07,2487.17,8987854804.30,19120133,109261
38,2026-01-29,2714.05,2742.53,2710.04,-17.53,-0.64%,3002.07,2487.17,14332814183.70,32606306,136590
39,2026-01-28,2731.59,2735.55,2702.56,5.08,0.18%,3002.07,2487.17,11397688787.60,22076993,120731
40,2026-01-27,2726.51,2782.96,2718.85,-42.58,-1.53%,3002.07,2487.17,13952553776.60,26298554,140816
41,2026-01-26,2769.09,2788.09,2746.87,-3.07,-0.11%,3002.07,2487.17,16193474620.40,31015840,145849
42,2026-01-25,2772.17,2772.22,2715.78,57.55,2.12%,3002.07,2487.17,13499346642.10,27871282,131834
43,2026-01-22,2714.61,2714.67,2693.04,9.23,0.34%,3002.07,2487.17,9005793637.70,17823333,93019
44,2026-01-21,2705.38,2728.05,2695.10,-9.43,-0.34%,3002.07,2487.17,8790365145.50,18130185,88412
45,2026-01-20,2714.81,2726.74,2678.81,42.26,1.58%,3002.07,2487.17,11737937445.20,23146188,113573
46,2026-01-18,2672.55,2672.73,2640.13,31.12,1.17%,3002.07,2487.17,8357375976.00,15210458,94183
47,2026-01-14,2641.43,2648.98,2633.00,1.52,0.05%,3002.07,2487.17,6177124491.39,11782820,71874
48,2026-01-13,2639.91,2653.66,2631.78,4.90,0.18%,3002.07,2487.17,6941697639.40,12849027,76057
49,2026-01-12,2635.00,2651.76,2628.98,-5.54,-0.20%,3002.07,2487.17,6436319164.10,11230468,77913
50,2026-01-08,2640.54,2640.56,2626.88,4.59,0.17%,3002.07,2487.17,4885313679.80,9990427,68595
51,2026-01-07,2635.94,2654.62,2630.86,-13.35,-0.50%,3002.07,2487.17,5138456359.18,9243859,71632
52,2026-01-06,2649.30,2662.66,2639.88,9.93,0.37%,3002.07,2487.17,7056439756.60,13186988,87342
53,2026-01-05,2639.37,2639.56,2609.51,28.73,1.10%,3002.07,2487.17,6427173485.70,11435614,83973
54,2026-01-04,2610.63,2618.62,2604.42,-10.29,-0.39%,3002.07,2487.17,4974280775.14,8987555,78840
55,2026-01-01,2620.92,2637.10,2613.50,-12.83,-0.48%,3002.07,2487.17,4600541027.00,8516859,63574
56,2025-12-31,2633.76,2643.64,2622.10,10.87,0.41%,3002.07,2487.17,5057156262.90,9863052,63082
57,2025-12-29,2622.88,2642.67,2618.19,-10.53,-0.40%,3002.07,2487.17,4746051444.82,9266846,68651
58,2025-12-28,2633.42,2633.80,2586.41,47.55,1.83%,3002.07,2487.17,5466507619.20,11355864,88102
59,2025-12-24,2585.87,2593.57,2577.63,1.37,0.05%,3002.07,2487.17,3194128898.80,6619629,62018
60,2025-12-23,2584.49,2584.72,2568.94,3.27,0.12%,3002.07,2487.17,3398406752.20,6805033,91951
61,2025-12-22,2581.21,2597.16,2574.84,-13.88,-0.53%,3002.07,2487.17,3473635162.24,7201906,64398
62,2025-12-21,2595.10,2616.25,2588.73,-19.92,-0.76%,3002.07,2487.17,4446665465.65,9119939,69456
63,2025-12-18,2615.03,2631.09,2608.89,-10.66,-0.40%,3002.07,2487.17,4519835898.30,8704810,63152
64,2025-12-17,2625.69,2632.81,2619.14,5.70,0.21%,3002.07,2487.17,3970795521.10,7866774,57309
65,2025-12-16,2619.99,2619.99,2600.86,18.37,0.70%,3002.07,2487.17,3250538446.70,6597927,54275
66,2025-12-15,2601.61,2602.89,2587.23,6.74,0.25%,3002.07,2487.17,3414736694.90,7380705,55424
67,2025-12-14,2594.87,2614.31,2587.88,-12.50,-0.47%,3002.07,2487.17,3685864382.31,7446108,59726
68,2025-12-11,2607.37,2611.99,2601.50,-1.66,-0.06%,3002.07,2487.17,3464156132.10,7003773,68966
69,2025-12-10,2609.03,2618.53,2596.70,-5.03,-0.19%,3002.07,2487.17,3694107562.70,7183563,90563
70,2025-12-09,2614.07,2620.57,2605.60,7.39,0.28%,3002.07,2487.17,3714903279.00,7687535,61822
71,2025-12-08,2606.67,2618.22,2601.38,-3.02,-0.11%,3002.07,2487.17,4619249036.90,9121488,82368
72,2025-12-07,2609.69,2636.97,2602.95,-21.48,-0.81%,3002.07,2487.17,5278168933.90,9803610,88856
73,2025-12-03,2631.17,2658.97,2622.88,-13.52,-0.51%,3002.07,2487.17,5204981201.80,10032760,66677
74,2025-12-02,2644.70,2652.52,2638.17,-0.53,-0.02%,3002.07,2487.17,4428897079.21,8982522,55222
75,2025-12-01,2645.24,2658.42,2630.66,-4.28,-0.16%,3002.07,2487.17,4646837437.50,9333151,59637
76,2025-11-30,2649.52,2694.89,2644.13,-26.51,-0.99%,3002.07,2487.17,6989153104.50,14644046,83081
77,2025-11-27,2676.03,2678.29,2658.12,10.43,0.39%,3002.07,2487.17,6592772483.10,13713256,85117
78,2025-11-26,2665.60,2671.91,2647.39,9.61,0.36%,3002.07,2487.17,6633948936.40,12331791,90782
79,2025-11-25,2655.99,2658.19,2635.55,5.32,0.20%,3002.07,2487.17,5772367029.90,11399410,101790
80,2025-11-24,2650.66,2650.66,2601.11,50.44,1.94%,3002.07,2487.17,6980366743.60,13178676,78804
